tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,temp0,temp1,temp2,atemp0,atemp1,atemp2,humid0,humid1,humid2,wind0,wind1,wind2
WC-2002,M-2002-30,group stage,1,0,2002-06-10,15:30,2002-06-10 15:30:00,Daegu,South Korea,T-71,South Korea,KOR,T-83,United States,USA,1,1,0,0,0,0,24.5535,24.2535,24.1535,26.675573,26.250393,26.416935,80.14225,82.09819,84.643875,15.119999,16.343367,15.986595
WC-2002,M-2002-31,group stage,1,0,2002-06-10,18:00,2002-06-10 18:00:00,Ōita,Japan,T-79,Tunisia,TUN,T-06,Belgium,BEL,1,1,0,0,0,0,23.830502,23.1805,22.6305,26.480282,25.929487,25.324234,88.04623,91.00729,94.08988,14.565548,13.513193,13.896187
WC-2002,M-2002-32,group stage,1,0,2002-06-10,20:30,2002-06-10 20:30:00,Jeonju,South Korea,T-58,Portugal,PRT,T-57,Poland,POL,4,0,4,-4,0,0,24.216,23.716,23.466,26.027227,25.811745,25.774305,88.88685,93.56708,94.69931,22.366402,21.794127,20.140705
WC-2002,M-2002-33,group stage,1,0,2002-06-11,15:30,2002-06-11 15:30:00,Incheon,South Korea,T-22,Denmark,DNK,T-30,France,FRA,2,0,2,-2,0,0,22.124498,21.474499,20.974499,22.3351,21.291052,20.27491,59.141304,62.542576,66.39592,17.917007,16.575644,15.03835
WC-2002,M-2002-34,group stage,1,0,2002-06-11,15:30,2002-06-11 15:30:00,Suwon,South Korea,T-65,Senegal,SEN,T-84,Uruguay,URY,3,3,0,0,0,0,23.533998,23.234,22.834,22.932484,22.04233,21.102636,44.61176,43.355408,43.974045,16.954432,14.973576,12.10157
WC-2002,M-2002-35,group stage,1,0,2002-06-11,20:30,2002-06-11 20:30:00,Shizuoka,Japan,T-11,Cameroon,CMR,T-31,Germany,DEU,0,2,-2,2,0,0,22.26,22.41,22.56,24.073797,24.132547,24.763533,98.78925,98.79062,97.003944,21.566973,22.771244,18.892282
WC-2002,M-2002-36,group stage,1,0,2002-06-11,20:30,2002-06-11 20:30:00,Yokohama,Japan,T-63,Saudi Arabia,SAU,T-60,Republic of Ireland,IRL,0,3,-3,3,0,0,22.961,22.861,22.861,21.627853,20.937363,20.636093,90.437256,90.70812,90.15339,40.315178,44.180374,45.878464
WC-2002,M-2002-40,group stage,1,0,2002-06-12,20:30,2002-06-12 20:30:00,Daejeon,South Korea,T-70,South Africa,ZAF,T-73,Spain,ESP,2,3,-1,1,0,0,19.929,19.279001,18.979,21.42312,20.27507,19.521385,93.971344,95.72484,93.92882,12.682018,14.973576,16.203999
WC-2002,M-2002-39,group stage,1,0,2002-06-12,20:30,2002-06-12 20:30:00,Seogwipo,South Korea,T-69,Slovenia,SVN,T-55,Paraguay,PRY,1,3,-2,2,0,0,23.302502,22.6025,22.1525,26.052439,25.532196,25.222569,86.92763,90.96983,93.49341,11.183201,10.137692,9.178235
WC-2002,M-2002-37,group stage,1,0,2002-06-12,15:30,2002-06-12 15:30:00,Osaka,Japan,T-50,Nigeria,NGA,T-28,England,ENG,0,0,0,0,0,0,28.0505,27.9505,27.5005,27.85693,26.95859,26.570877,41.078594,36.4823,37.330807,11.770403,10.365251,9.83268
WC-2002,M-2002-38,group stage,1,0,2002-06-12,15:30,2002-06-12 15:30:00,Miyagi,Japan,T-74,Sweden,SWE,T-03,Argentina,ARG,1,1,0,0,0,0,16.8475,16.0475,15.6475,16.294455,15.588999,15.081001,80.11174,82.39184,82.883255,11.252519,9.779817,9.826088
WC-2002,M-2002-41,group stage,1,0,2002-06-13,15:30,2002-06-13 15:30:00,Suwon,South Korea,T-17,Costa Rica,CRI,T-09,Brazil,BRA,2,5,-3,3,0,0,21.033998,20.684,20.434,20.43076,19.829378,19.564398,64.0866,63.802067,65.00401,14.081478,13.75558,13.979871
WC-2002,M-2002-42,group stage,1,0,2002-06-13,15:30,2002-06-13 15:30:00,Seoul,South Korea,T-80,Turkey,TUR,T-14,China,CHN,3,0,3,-3,0,0,21.964,21.414,21.314001,21.421856,20.82492,20.743061,60.26605,62.93562,63.527893,14.332341,13.1041975,13.1041975
WC-2002,M-2002-43,group stage,1,0,2002-06-13,20:30,2002-06-13 20:30:00,Yokohama,Japan,T-25,Ecuador,ECU,T-18,Croatia,HRV,1,0,1,-1,0,0,19.711,19.411001,19.211,20.017727,19.491144,19.473293,85.23405,86.83728,87.64717,15.349684,16.904673,15.509274
WC-2002,M-2002-44,group stage,1,0,2002-06-13,20:30,2002-06-13 20:30:00,Ōita,Japan,T-46,Mexico,MEX,T-41,Italy,ITA,1,1,0,0,0,0,25.830502,24.330502,23.580502,30.512165,28.219841,27.739248,78.37614,78.64407,83.80545,0.8049845,1.1384199,0.35999998
WC-2002,M-2002-45,group stage,1,0,2002-06-14,15:30,2002-06-14 15:30:00,Shizuoka,Japan,T-06,Belgium,BEL,T-62,Russia,RUS,3,2,1,-1,0,0,23.11,22.460001,21.76,26.041452,25.426586,24.699968,89.89515,90.4028,91.761185,11.252519,9.007196,7.5942073
WC-2002,M-2002-46,group stage,1,0,2002-06-14,15:30,2002-06-14 15:30:00,Osaka,Japan,T-79,Tunisia,TUN,T-44,Japan,JPN,0,2,-2,2,0,0,28.4505,27.7505,27.1005,29.203686,28.271416,28.465584,53.84482,54.179268,60.493065,16.563911,15.2947035,13.1041975
WC-2002,M-2002-47,group stage,1,0,2002-06-14,20:30,2002-06-14 20:30:00,Daejeon,South Korea,T-57,Poland,POL,T-83,United States,USA,3,1,2,-2,0,0,20.429,18.979,17.629002,20.563477,19.245941,18.098501,65.85311,73.23065,81.00128,7.5685663,7.2805495,6.519877
WC-2002,M-2002-48,group stage,1,0,2002-06-14,20:30,2002-06-14 20:30:00,Incheon,South Korea,T-58,Portugal,PRT,T-71,South Korea,KOR,0,1,-1,1,0,0,17.6745,17.0745,16.7745,17.815544,17.21534,17.081059,88.072136,90.59965,92.932175,12.287555,11.885453,11.019764
WC-2002,M-2002-50,round of 16,0,1,2002-06-15,20:30,2002-06-15 20:30:00,Niigata,Japan,T-22,Denmark,DNK,T-28,England,ENG,0,3,-3,3,0,0,20.146,19.546,19.596,22.359596,21.894398,21.81212,86.08924,91.627335,88.51457,4.0249224,4.3349743,3.7064266
WC-2002,M-2002-49,round of 16,0,1,2002-06-15,15:30,2002-06-15 15:30:00,Seogwipo,South Korea,T-31,Germany,DEU,T-55,Paraguay,PRY,1,0,1,-1,0,0,26.1525,25.8525,25.5025,28.362576,27.616861,26.668755,53.26506,55.97555,57.149906,10.661107,9.826088,7.2359104
WC-2002,M-2002-51,round of 16,0,1,2002-06-16,15:30,2002-06-16 15:30:00,Ōita,Japan,T-74,Sweden,SWE,T-65,Senegal,SEN,1,2,-1,1,1,0,28.980501,28.6805,27.6805,30.761723,29.653713,28.375626,38.490112,38.657967,43.726566,5.1544156,5.506941,4.6800003
WC-2002,M-2002-52,round of 16,0,1,2002-06-16,20:30,2002-06-16 20:30:00,Suwon,South Korea,T-73,Spain,ESP,T-60,Republic of Ireland,IRL,1,1,0,0,1,1,20.633999,19.133999,17.883999,21.819895,20.42294,19.43442,78.60576,86.26236,92.10843,8.217153,7.5170207,5.1544156
WC-2002,M-2002-53,round of 16,0,1,2002-06-17,15:30,2002-06-17 15:30:00,Jeonju,South Korea,T-46,Mexico,MEX,T-83,United States,USA,0,2,-2,2,0,0,26.066,26.316,25.566,28.730278,28.485481,27.053171,60.827118,58.813374,63.250072,8.4042845,9.0645685,9.9571085
WC-2002,M-2002-54,round of 16,0,1,2002-06-17,20:30,2002-06-17 20:30:00,Kobe,Japan,T-09,Brazil,BRA,T-06,Belgium,BEL,2,0,2,-2,0,0,22.3955,22.1455,22.095499,24.560844,24.400608,24.214947,85.24522,85.75028,85.745285,10.948973,9.826088,10.587917
WC-2002,M-2002-55,round of 16,0,1,2002-06-18,15:30,2002-06-18 15:30:00,Miyagi,Japan,T-44,Japan,JPN,T-80,Turkey,TUR,0,1,-1,1,0,0,16.8475,16.4475,16.3475,16.32288,15.769405,15.746069,99.36753,97.17298,97.48167,19.855558,18.792551,18.129137
WC-2002,M-2002-56,round of 16,0,1,2002-06-18,20:30,2002-06-18 20:30:00,Daejeon,South Korea,T-71,South Korea,KOR,T-41,Italy,ITA,2,1,1,-1,1,0,22.979,21.479,20.429,24.355486,22.61141,21.626812,69.623245,75.08151,79.58046,7.9036193,8.854829,8.12197
WC-2002,M-2002-57,quarter-finals,0,1,2002-06-21,15:30,2002-06-21 15:30:00,Shizuoka,Japan,T-28,England,ENG,T-09,Brazil,BRA,1,2,-1,1,0,0,27.76,27.31,26.41,28.381435,27.20612,26.126453,51.837032,54.92985,57.369095,19.85556,20.390114,19.8
WC-2002,M-2002-58,quarter-finals,0,1,2002-06-21,20:30,2002-06-21 20:30:00,Ulsan,South Korea,T-31,Germany,DEU,T-83,United States,USA,1,0,1,-1,0,0,21.6795,21.079498,20.7295,23.912039,22.806524,22.055292,86.23899,90.306984,91.41437,8.759178,12.7279215,14.982228
WC-2002,M-2002-60,quarter-finals,0,1,2002-06-22,20:30,2002-06-22 20:30:00,Osaka,Japan,T-65,Senegal,SEN,T-80,Turkey,TUR,0,1,-1,1,1,0,19.7505,18.8505,18.1005,20.054346,19.431988,18.695652,71.96023,79.10491,82.9096,8.209263,7.8625183,7.771331
WC-2002,M-2002-59,quarter-finals,0,1,2002-06-22,15:30,2002-06-22 15:30:00,Gwangju,South Korea,T-73,Spain,ESP,T-71,South Korea,KOR,0,0,0,0,1,1,28.9575,27.4075,26.1575,30.629414,27.927818,26.613724,46.386677,52.74108,57.67214,9.957108,13.584932,14.277983
WC-2002,M-2002-61,semi-finals,0,1,2002-06-25,20:30,2002-06-25 20:30:00,Seoul,South Korea,T-31,Germany,DEU,T-71,South Korea,KOR,1,0,1,-1,0,0,18.814001,17.564001,16.514,17.81303,16.344006,14.984482,56.80582,59.418427,61.61074,7.0911775,7.628263,8.905908
WC-2002,M-2002-62,semi-finals,0,1,2002-06-26,20:30,2002-06-26 20:30:00,Saitama,Japan,T-09,Brazil,BRA,T-80,Turkey,TUR,1,0,1,-1,0,0,16.3565,16.206501,16.1565,17.165796,16.950314,16.744238,89.389694,89.66715,89.6634,4.896529,5.0911684,6.0347
WC-2002,M-2002-63,third-place match,0,1,2002-06-29,20:00,2002-06-29 20:00:00,Daegu,South Korea,T-71,South Korea,KOR,T-80,Turkey,TUR,2,3,-1,1,0,0,23.2035,22.0035,21.0035,24.381325,23.353132,22.658821,65.5937,71.45308,76.93403,7.172949,6.5693827,5.0528407
WC-2002,M-2002-64,final,0,1,2002-06-30,20:00,2002-06-30 20:00:00,Yokohama,Japan,T-31,Germany,DEU,T-09,Brazil,BRA,0,2,-2,2,0,0,21.711,21.511,21.361,24.76538,23.931164,23.51169,91.758286,92.03046,92.30697,6.638072,10.464797,11.966954
WC-2006,M-2006-01,group stage,1,0,2006-06-09,18:00,2006-06-09 18:00:00,Munich,Germany,T-31,Germany,DEU,T-17,Costa Rica,CRI,4,2,2,-2,0,0,17.345,16.295,15.094999,16.063894,15.562082,13.977629,56.246563,64.52913,66.02542,6.162207,4.3498964,5.495161
WC-2006,M-2006-02,group stage,1,0,2006-06-09,21:00,2006-06-09 21:00:00,Gelsenkirchen,Germany,T-57,Poland,POL,T-25,Ecuador,ECU,0,2,-2,2,0,0,18.7255,17.4255,16.275501,17.810276,16.276432,14.87752,61.507973,63.920933,67.394905,8.759178,9.028754,10.137692
WC-2006,M-2006-03,group stage,1,0,2006-06-10,15:00,2006-06-10 15:00:00,Frankfurt,Germany,T-28,England,ENG,T-55,Paraguay,PRY,1,0,1,-1,0,0,21.779999,21.63,21.73,20.733786,19.490215,19.4847,42.370445,41.474606,40.251286,10.587917,11.043261,11.165805
WC-2006,M-2006-04,group stage,1,0,2006-06-10,18:00,2006-06-10 18:00:00,Dortmund,Germany,T-78,Trinidad and Tobago,TTO,T-74,Sweden,SWE,0,0,0,0,0,0,24.3215,23.171501,21.4715,23.983458,23.389751,21.313726,52.116436,59.58118,60.93861,10.8955765,9.605998,9.0645685
WC-2006,M-2006-05,group stage,1,0,2006-06-10,21:00,2006-06-10 21:00:00,Hamburg,Germany,T-03,Argentina,ARG,T-42,Ivory Coast,CIV,2,1,1,-1,0,0,18.8065,17.6065,16.6565,18.455189,17.250378,16.127934,70.85927,75.658966,79.046524,9.885262,9.565437,10.163227
WC-2006,M-2006-06,group stage,1,0,2006-06-11,15:00,2006-06-11 15:00:00,Leipzig,Germany,T-67,Serbia and Montenegro,SCG,T-48,Netherlands,NLD,0,1,-1,1,0,0,23.256,23.356,23.156,22.878233,22.375095,21.892805,43.07255,43.534576,45.10405,10.24578,10.24578,9.9571085
WC-2006,M-2006-07,group stage,1,0,2006-06-11,18:00,2006-06-11 18:00:00,Nuremberg,Germany,T-46,Mexico,MEX,T-38,Iran,IRN,3,1,2,-2,0,0,21.304,20.054,18.404,19.285149,18.40282,16.727186,45.808952,50.653572,56.324066,12.324414,10.464798,10.739833
WC-2006,M-2006-08,group stage,1,0,2006-06-11,21:00,2006-06-11 21:00:00,Cologne,Germany,T-02,Angola,AGO,T-58,Portugal,PRT,0,1,-1,1,0,0,19.102,18.052,17.252,17.26866,15.994041,14.868465,54.82407,56.424934,57.764473,12.287555,12.783802,14.277983
WC-2006,M-2006-09,group stage,1,0,2006-06-12,15:00,2006-06-12 15:00:00,Kaiserslautern,Germany,T-04,Australia,AUS,T-44,Japan,JPN,3,1,2,-2,0,0,25.446499,25.6465,25.4965,25.065187,24.76471,24.145565,41.711353,41.355377,42.00187,14.458382,13.905509,12.72283
WC-2006,M-2006-10,group stage,1,0,2006-06-12,18:00,2006-06-12 18:00:00,Gelsenkirchen,Germany,T-83,United States,USA,T-20,Czech Republic,CZE,0,3,-3,3,0,0,26.275501,25.0755,23.375502,26.10421,25.500887,23.502428,48.09187,53.84978,56.44765,11.119281,8.707237,8.587338
