tournament_id,match_id,stage_name,group_stage,knockout_stage,match_date,match_time,match_datetime,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout
WC-2002,M-2002-57,quarter-finals,0,1,2002-06-21,15:30,2002-06-21 15:30:00,Shizuoka,Japan,T-28,England,ENG,T-09,Brazil,BRA,1,2,-1,1,0,0
WC-2002,M-2002-58,quarter-finals,0,1,2002-06-21,20:30,2002-06-21 20:30:00,Ulsan,South Korea,T-31,Germany,DEU,T-83,United States,USA,1,0,1,-1,0,0
WC-2002,M-2002-60,quarter-finals,0,1,2002-06-22,20:30,2002-06-22 20:30:00,Osaka,Japan,T-65,Senegal,SEN,T-80,Turkey,TUR,0,1,-1,1,1,0
WC-2002,M-2002-59,quarter-finals,0,1,2002-06-22,15:30,2002-06-22 15:30:00,Gwangju,South Korea,T-73,Spain,ESP,T-71,South Korea,KOR,0,0,0,0,1,1
WC-2002,M-2002-61,semi-finals,0,1,2002-06-25,20:30,2002-06-25 20:30:00,Seoul,South Korea,T-31,Germany,DEU,T-71,South Korea,KOR,1,0,1,-1,0,0
WC-2002,M-2002-62,semi-finals,0,1,2002-06-26,20:30,2002-06-26 20:30:00,Saitama,Japan,T-09,Brazil,BRA,T-80,Turkey,TUR,1,0,1,-1,0,0
WC-2002,M-2002-63,third-place match,0,1,2002-06-29,20:00,2002-06-29 20:00:00,Daegu,South Korea,T-71,South Korea,KOR,T-80,Turkey,TUR,2,3,-1,1,0,0
WC-2002,M-2002-64,final,0,1,2002-06-30,20:00,2002-06-30 20:00:00,Yokohama,Japan,T-31,Germany,DEU,T-09,Brazil,BRA,0,2,-2,2,0,0
WC-2006,M-2006-01,group stage,1,0,2006-06-09,18:00,2006-06-09 18:00:00,Munich,Germany,T-31,Germany,DEU,T-17,Costa Rica,CRI,4,2,2,-2,0,0
WC-2006,M-2006-02,group stage,1,0,2006-06-09,21:00,2006-06-09 21:00:00,Gelsenkirchen,Germany,T-57,Poland,POL,T-25,Ecuador,ECU,0,2,-2,2,0,0
WC-2006,M-2006-03,group stage,1,0,2006-06-10,15:00,2006-06-10 15:00:00,Frankfurt,Germany,T-28,England,ENG,T-55,Paraguay,PRY,1,0,1,-1,0,0
WC-2006,M-2006-04,group stage,1,0,2006-06-10,18:00,2006-06-10 18:00:00,Dortmund,Germany,T-78,Trinidad and Tobago,TTO,T-74,Sweden,SWE,0,0,0,0,0,0
WC-2006,M-2006-05,group stage,1,0,2006-06-10,21:00,2006-06-10 21:00:00,Hamburg,Germany,T-03,Argentina,ARG,T-42,Ivory Coast,CIV,2,1,1,-1,0,0
WC-2006,M-2006-06,group stage,1,0,2006-06-11,15:00,2006-06-11 15:00:00,Leipzig,Germany,T-67,Serbia and Montenegro,SCG,T-48,Netherlands,NLD,0,1,-1,1,0,0
WC-2006,M-2006-07,group stage,1,0,2006-06-11,18:00,2006-06-11 18:00:00,Nuremberg,Germany,T-46,Mexico,MEX,T-38,Iran,IRN,3,1,2,-2,0,0
WC-2006,M-2006-08,group stage,1,0,2006-06-11,21:00,2006-06-11 21:00:00,Cologne,Germany,T-02,Angola,AGO,T-58,Portugal,PRT,0,1,-1,1,0,0
