tournament_id,match_id,match_date,stage_name,match_period,team_id,team_name,home_team,away_team,card_minute,is_yellow,is_red
WC-2014,M-2014-34,2014-06-23,group stage,second half,T-48,Netherlands,1,0,64,True,False
WC-2014,M-2014-35,2014-06-23,group stage,first half,T-11,Cameroon,1,0,11,True,False
WC-2014,M-2014-35,2014-06-23,group stage,second half,T-11,Cameroon,1,0,76,True,False
WC-2014,M-2014-35,2014-06-23,group stage,second half,T-11,Cameroon,1,0,80,True,False
WC-2014,M-2014-36,2014-06-23,group stage,first half,T-18,Croatia,1,0,9,True,False
WC-2014,M-2014-36,2014-06-23,group stage,first half,T-46,Mexico,0,1,39,True,False
WC-2014,M-2014-36,2014-06-23,group stage,second half,T-46,Mexico,0,1,66,True,False
WC-2014,M-2014-36,2014-06-23,group stage,second half,T-18,Croatia,1,0,89,False,True
WC-2014,M-2014-37,2014-06-24,group stage,second half,T-28,England,0,1,53,True,False
WC-2014,M-2014-37,2014-06-24,group stage,second half,T-28,England,0,1,57,True,False
WC-2014,M-2014-37,2014-06-24,group stage,second half,T-17,Costa Rica,1,0,60,True,False
WC-2014,M-2014-38,2014-06-24,group stage,first half,T-41,Italy,1,0,22,True,False
WC-2014,M-2014-38,2014-06-24,group stage,second half,T-84,Uruguay,0,1,46,True,False
WC-2014,M-2014-38,2014-06-24,group stage,second half,T-41,Italy,1,0,59,False,True
WC-2014,M-2014-38,2014-06-24,group stage,second half,T-41,Italy,1,0,77,True,False
WC-2014,M-2014-38,2014-06-24,group stage,"second half, stoppage time",T-84,Uruguay,0,1,91,True,False
WC-2014,M-2014-39,2014-06-24,group stage,first half,T-44,Japan,1,0,16,True,False
WC-2014,M-2014-39,2014-06-24,group stage,second half,T-16,Colombia,0,1,63,True,False
WC-2014,M-2014-40,2014-06-24,group stage,first half,T-42,Ivory Coast,0,1,37,True,False
WC-2014,M-2014-40,2014-06-24,group stage,second half,T-42,Ivory Coast,0,1,62,True,False
WC-2014,M-2014-40,2014-06-24,group stage,second half,T-42,Ivory Coast,0,1,70,True,False
WC-2014,M-2014-41,2014-06-25,group stage,second half,T-08,Bosnia And Herzegovina,1,0,78,True,False
WC-2014,M-2014-41,2014-06-25,group stage,second half,T-38,IR Iran,0,1,88,True,False
WC-2014,M-2014-42,2014-06-25,group stage,second half,T-50,Nigeria,1,0,49,True,False
WC-2014,M-2014-42,2014-06-25,group stage,second half,T-50,Nigeria,1,0,51,True,False
WC-2014,M-2014-43,2014-06-25,group stage,second half,T-35,Honduras,1,0,66,True,False
WC-2014,M-2014-44,2014-06-25,group stage,second half,T-25,Ecuador,1,0,50,False,True
WC-2014,M-2014-44,2014-06-25,group stage,second half,T-25,Ecuador,1,0,83,True,False
WC-2014,M-2014-45,2014-06-26,group stage,first half,T-32,Ghana,0,1,39,True,False
WC-2014,M-2014-45,2014-06-26,group stage,second half,T-32,Ghana,0,1,55,True,False
WC-2014,M-2014-45,2014-06-26,group stage,second half,T-32,Ghana,0,1,78,True,False
WC-2014,M-2014-45,2014-06-26,group stage,"second half, stoppage time",T-58,Portugal,1,0,94,True,False
WC-2014,M-2014-46,2014-06-26,group stage,first half,T-31,Germany,0,1,11,True,False
WC-2014,M-2014-46,2014-06-26,group stage,first half,T-83,United States,1,0,37,True,False
WC-2014,M-2014-46,2014-06-26,group stage,second half,T-83,United States,1,0,62,True,False
WC-2014,M-2014-47,2014-06-26,group stage,first half,T-01,Algeria,1,0,39,True,False
WC-2014,M-2014-47,2014-06-26,group stage,second half,T-62,Russia,0,1,57,True,False
WC-2014,M-2014-47,2014-06-26,group stage,second half,T-62,Russia,0,1,59,True,False
WC-2014,M-2014-47,2014-06-26,group stage,second half,T-01,Algeria,1,0,87,True,False
WC-2014,M-2014-47,2014-06-26,group stage,"second half, stoppage time",T-01,Algeria,1,0,92,True,False
WC-2014,M-2014-48,2014-06-26,group stage,first half,T-71,Korea Republic,1,0,35,True,False
WC-2014,M-2014-48,2014-06-26,group stage,first half,T-06,Belgium,0,1,45,False,True
WC-2014,M-2014-48,2014-06-26,group stage,second half,T-06,Belgium,0,1,50,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,first half,T-13,Chile,0,1,17,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,first half,T-13,Chile,0,1,40,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,second half,T-09,Brazil,1,0,55,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,second half,T-09,Brazil,1,0,60,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,"extra time, first half",T-09,Brazil,1,0,93,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,"extra time, first half",T-13,Chile,0,1,102,True,False
WC-2014,M-2014-49,2014-06-28,round of 16,"extra time, first half, stoppage time",T-09,Brazil,1,0,106,True,False
WC-2014,M-2014-50,2014-06-28,round of 16,second half,T-84,Uruguay,0,1,55,True,False
WC-2014,M-2014-50,2014-06-28,round of 16,second half,T-84,Uruguay,0,1,77,True,False
WC-2014,M-2014-50,2014-06-28,round of 16,second half,T-16,Colombia,1,0,78,True,False
WC-2014,M-2014-51,2014-06-29,round of 16,second half,T-46,Mexico,0,1,69,True,False
WC-2014,M-2014-51,2014-06-29,round of 16,"second half, stoppage time",T-46,Mexico,0,1,92,True,False
WC-2014,M-2014-51,2014-06-29,round of 16,"second half, stoppage time",T-46,Mexico,0,1,93,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,first half,T-33,Greece,0,1,36,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,first half,T-17,Costa Rica,1,0,42,True,True
WC-2014,M-2014-52,2014-06-29,round of 16,second half,T-17,Costa Rica,1,0,48,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,second half,T-17,Costa Rica,1,0,57,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,second half,T-17,Costa Rica,1,0,70,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,second half,T-33,Greece,0,1,72,True,False
WC-2014,M-2014-52,2014-06-29,round of 16,second half,T-17,Costa Rica,1,0,90,True,False
WC-2014,M-2014-53,2014-06-30,round of 16,second half,T-30,France,1,0,54,True,False
WC-2014,M-2014-54,2014-06-30,round of 16,first half,T-01,Algeria,0,1,42,True,False
WC-2014,M-2014-54,2014-06-30,round of 16,"extra time, second half",T-31,Germany,1,0,107,True,False
WC-2014,M-2014-55,2014-07-01,round of 16,first half,T-75,Switzerland,0,1,36,True,False
WC-2014,M-2014-55,2014-07-01,round of 16,second half,T-75,Switzerland,0,1,73,True,False
WC-2014,M-2014-55,2014-07-01,round of 16,second half,T-03,Argentina,1,0,90,True,False
WC-2014,M-2014-55,2014-07-01,round of 16,"extra time, second half",T-03,Argentina,1,0,120,True,False
WC-2014,M-2014-55,2014-07-01,round of 16,"extra time, second half, stoppage time",T-03,Argentina,1,0,124,True,False
WC-2014,M-2014-56,2014-07-01,round of 16,first half,T-83,United States,0,1,18,True,False
WC-2014,M-2014-56,2014-07-01,round of 16,first half,T-06,Belgium,1,0,42,True,False
WC-2014,M-2014-57,2014-07-04,quarter-finals,second half,T-31,Germany,0,1,54,True,False
WC-2014,M-2014-57,2014-07-04,quarter-finals,second half,T-31,Germany,0,1,80,True,False
WC-2014,M-2014-58,2014-07-04,quarter-finals,second half,T-09,Brazil,1,0,64,True,False
WC-2014,M-2014-58,2014-07-04,quarter-finals,second half,T-16,Colombia,0,1,67,True,False
WC-2014,M-2014-58,2014-07-04,quarter-finals,second half,T-16,Colombia,0,1,71,True,False
WC-2014,M-2014-58,2014-07-04,quarter-finals,second half,T-09,Brazil,1,0,78,True,False
WC-2014,M-2014-59,2014-07-05,quarter-finals,second half,T-06,Belgium,0,1,53,True,False
WC-2014,M-2014-59,2014-07-05,quarter-finals,second half,T-06,Belgium,0,1,69,True,False
WC-2014,M-2014-59,2014-07-05,quarter-finals,second half,T-03,Argentina,1,0,75,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,first half,T-17,Costa Rica,0,1,37,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,second half,T-17,Costa Rica,0,1,52,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,second half,T-48,Netherlands,1,0,64,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,second half,T-17,Costa Rica,0,1,81,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,"extra time, second half",T-17,Costa Rica,0,1,107,True,False
WC-2014,M-2014-60,2014-07-05,quarter-finals,"extra time, second half",T-48,Netherlands,1,0,111,True,False
WC-2014,M-2014-61,2014-07-08,semi-finals,second half,T-09,Brazil,1,0,68,True,False
WC-2014,M-2014-62,2014-07-09,semi-finals,first half,T-48,Netherlands,1,0,45,True,False
WC-2014,M-2014-62,2014-07-09,semi-finals,second half,T-03,Argentina,0,1,49,True,False
WC-2014,M-2014-62,2014-07-09,semi-finals,"extra time, first half",T-48,Netherlands,1,0,105,True,False
WC-2014,M-2014-63,2014-07-12,third-place match,first half,T-09,Brazil,1,0,2,True,False
WC-2014,M-2014-63,2014-07-12,third-place match,first half,T-48,Netherlands,0,1,9,True,False
WC-2014,M-2014-63,2014-07-12,third-place match,first half,T-48,Netherlands,0,1,36,True,False
WC-2014,M-2014-63,2014-07-12,third-place match,second half,T-09,Brazil,1,0,54,True,False
WC-2014,M-2014-63,2014-07-12,third-place match,second half,T-09,Brazil,1,0,68,True,False
WC-2014,M-2014-64,2014-07-13,final,first half,T-31,Germany,1,0,29,True,False
WC-2014,M-2014-64,2014-07-13,final,first half,T-31,Germany,1,0,34,True,False
WC-2014,M-2014-64,2014-07-13,final,second half,T-03,Argentina,0,1,64,True,False
WC-2014,M-2014-64,2014-07-13,final,second half,T-03,Argentina,0,1,65,True,False
WC-2018,M-2018-01,2018-06-14,group stage,second half,T-62,Russia,1,0,88,True,False
WC-2018,M-2018-01,2018-06-14,group stage,"second half, stoppage time",T-63,Saudi Arabia,0,1,93,True,False
WC-2018,M-2018-02,2018-06-15,group stage,"second half, stoppage time",T-26,Egypt,1,0,94,True,False
WC-2018,M-2018-02,2018-06-15,group stage,"second half, stoppage time",T-26,Egypt,1,0,96,True,False
WC-2018,M-2018-03,2018-06-15,group stage,first half,T-38,IR Iran,0,1,10,True,False
WC-2018,M-2018-03,2018-06-15,group stage,first half,T-47,Morocco,1,0,34,True,False
WC-2018,M-2018-03,2018-06-15,group stage,second half,T-38,IR Iran,0,1,47,True,False
WC-2018,M-2018-03,2018-06-15,group stage,"second half, stoppage time",T-38,IR Iran,0,1,92,True,False
WC-2018,M-2018-04,2018-06-15,group stage,first half,T-73,Spain,0,1,17,True,False
WC-2018,M-2018-04,2018-06-15,group stage,first half,T-58,Portugal,1,0,28,True,False
WC-2018,M-2018-05,2018-06-16,group stage,first half,T-04,Australia,0,1,13,True,False
WC-2018,M-2018-05,2018-06-16,group stage,second half,T-04,Australia,0,1,57,True,False
WC-2018,M-2018-05,2018-06-16,group stage,second half,T-30,France,1,0,76,True,False
WC-2018,M-2018-05,2018-06-16,group stage,second half,T-04,Australia,0,1,87,True,False
