key_id,goal_id,tournament_id,match_id,match_name,match_date,stage_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty,minute_total
2115,G-2115,WC-2002,M-2002-14,South Korea vs Poland,2002-06-04,group stage,T-71,Korea Republic,KOR,1,0,P-75255,Yoo,Sang-chul,6,T-71,Korea Republic,KOR,53',53,0,second half,False,False,53
2116,G-2116,WC-2002,M-2002-15,Russia vs Tunisia,2002-06-05,group stage,T-62,Russia,RUS,1,0,P-66907,Titov,Yegor,9,T-62,Russia,RUS,59',59,0,second half,False,False,59
2117,G-2117,WC-2002,M-2002-15,Russia vs Tunisia,2002-06-05,group stage,T-62,Russia,RUS,1,0,P-48249,Karpin,Valeri,8,T-62,Russia,RUS,64',64,0,second half,False,True,64
2118,G-2118,WC-2002,M-2002-16,United States vs Portugal,2002-06-05,group stage,T-83,United States,USA,1,0,P-88043,O'Brien,John,5,T-83,United States,USA,4',4,0,first half,False,False,4
2119,G-2119,WC-2002,M-2002-16,United States vs Portugal,2002-06-05,group stage,T-83,United States,USA,1,0,P-73722,Costa,Jorge,2,T-58,Portugal,PRT,29',29,0,first half,True,False,29
2120,G-2120,WC-2002,M-2002-16,United States vs Portugal,2002-06-05,group stage,T-83,United States,USA,1,0,P-60597,McBride,Brian,20,T-83,United States,USA,36',36,0,first half,False,False,36
2121,G-2121,WC-2002,M-2002-16,United States vs Portugal,2002-06-05,group stage,T-58,Portugal,PRT,0,1,P-37140,Beto,not applicable,22,T-58,Portugal,PRT,39',39,0,first half,False,False,39
2122,G-2122,WC-2002,M-2002-16,United States vs Portugal,2002-06-05,group stage,T-58,Portugal,PRT,0,1,P-72797,Agoos,Jeff,12,T-83,United States,USA,71',71,0,second half,True,False,71
2123,G-2123,WC-2002,M-2002-17,Germany vs Republic of Ireland,2002-06-05,group stage,T-31,Germany,DEU,1,0,P-27787,Klose,Miroslav,11,T-31,Germany,DEU,19',19,0,first half,False,False,19
2124,G-2124,WC-2002,M-2002-17,Germany vs Republic of Ireland,2002-06-05,group stage,T-60,Republic Of Ireland,IRL,0,1,P-84878,Keane,Robbie,10,T-60,Republic Of Ireland,IRL,90'+2',90,2,"second half, stoppage time",False,False,92
2125,G-2125,WC-2002,M-2002-18,Denmark vs Senegal,2002-06-06,group stage,T-22,Denmark,DNK,1,0,P-50534,Tomasson,Jon Dahl,9,T-22,Denmark,DNK,16',16,0,first half,False,True,16
2126,G-2126,WC-2002,M-2002-18,Denmark vs Senegal,2002-06-06,group stage,T-65,Senegal,SEN,0,1,P-35019,Diao,Salif,15,T-65,Senegal,SEN,52',52,0,second half,False,False,52
