match_id,tournament_id,home_team_name,away_team_name,chunk_minute,time_remaining,score_diff,red_diff,yellow_diff,home_subs,away_subs,temperature,apparent_temp,humidity,wind_speed,pre_match_rank_diff,target_home_win,hPossession,total_shot_diff,total_sot_diff,foul_diff
M-2002-24,WC-2002,South Africa,Slovenia,90,0,1,0,2,3,3,29.8035,29.227085,35.46376,10.195057,-12,1,0.0,7.0,5.0,-6.0
M-2002-25,WC-2002,Italy,Croatia,15,75,0,0,0,0,0,25.6425,25.23346,50.30692,13.049689,15,0,45.0,-1.0,-1.0,-5.0
M-2002-25,WC-2002,Italy,Croatia,30,60,0,0,0,1,0,25.6425,25.23346,50.30692,13.049689,15,0,45.0,-1.0,-1.0,-5.0
M-2002-25,WC-2002,Italy,Croatia,45,45,0,0,1,1,0,25.6425,25.23346,50.30692,13.049689,15,0,45.0,-1.0,-1.0,-5.0
M-2002-25,WC-2002,Italy,Croatia,60,30,1,0,0,1,1,24.092499,24.707201,58.848194,8.654986,15,0,45.0,-1.0,-1.0,-5.0
M-2002-25,WC-2002,Italy,Croatia,75,15,0,0,0,1,2,24.092499,24.707201,58.848194,8.654986,15,0,45.0,-1.0,-1.0,-5.0
M-2002-25,WC-2002,Italy,Croatia,90,0,-1,0,0,2,3,24.092499,24.707201,58.848194,8.654986,15,0,45.0,-1.0,-1.0,-5.0
M-2002-26,WC-2002,Brazil,China PR,15,75,1,0,0,0,0,22.2525,25.758617,85.49535,1.4399999,48,1,,,,
M-2002-26,WC-2002,Brazil,China PR,30,60,1,0,-1,0,0,21.5025,25.127253,90.8979,1.484318,48,1,,,,
M-2002-26,WC-2002,Brazil,China PR,45,45,3,0,-1,0,0,21.5025,25.127253,90.8979,1.484318,48,1,,,,
M-2002-26,WC-2002,Brazil,China PR,60,30,4,0,-1,1,0,21.5025,25.127253,90.8979,1.484318,48,1,,,,
M-2002-26,WC-2002,Brazil,China PR,75,15,4,0,-2,3,3,20.6025,24.02765,94.293465,1.835647,48,1,,,,
M-2002-26,WC-2002,Brazil,China PR,90,0,4,0,-2,3,3,20.6025,24.02765,94.293465,1.835647,48,1,,,,
M-2002-28,WC-2002,Costa Rica,Turkey,15,75,0,0,0,0,0,19.5745,20.345818,88.23419,13.397612,-7,0,0.0,3.0,1.0,-6.0
M-2002-28,WC-2002,Costa Rica,Turkey,30,60,0,0,0,0,0,19.5745,20.345818,88.23419,13.397612,-7,0,0.0,3.0,1.0,-6.0
M-2002-28,WC-2002,Costa Rica,Turkey,45,45,0,0,0,0,0,19.5745,20.345818,88.23419,13.397612,-7,0,0.0,3.0,1.0,-6.0
M-2002-28,WC-2002,Costa Rica,Turkey,60,30,-1,0,0,0,0,18.874498,20.33465,90.722595,7.928178,-7,0,0.0,3.0,1.0,-6.0
M-2002-28,WC-2002,Costa Rica,Turkey,75,15,-1,0,0,1,1,18.874498,20.33465,90.722595,7.928178,-7,0,0.0,3.0,1.0,-6.0
M-2002-28,WC-2002,Costa Rica,Turkey,90,0,0,0,1,3,3,18.874498,20.33465,90.722595,7.928178,-7,0,0.0,3.0,1.0,-6.0
M-2002-29,WC-2002,Japan,Russia,15,75,0,0,0,0,0,22.111,22.87731,70.34622,10.163227,-4,1,0.0,-5.0,-2.0,0.0
M-2002-29,WC-2002,Japan,Russia,30,60,0,0,0,0,0,20.911001,22.639296,80.91486,6.638072,-4,1,0.0,-5.0,-2.0,0.0
M-2002-29,WC-2002,Japan,Russia,45,45,0,0,0,0,0,20.911001,22.639296,80.91486,6.638072,-4,1,0.0,-5.0,-2.0,0.0
M-2002-29,WC-2002,Japan,Russia,60,30,1,0,1,0,3,20.911001,22.639296,80.91486,6.638072,-4,1,0.0,-5.0,-2.0,0.0
M-2002-29,WC-2002,Japan,Russia,75,15,1,0,1,2,3,21.661001,23.549376,74.16547,3.6179552,-4,1,0.0,-5.0,-2.0,0.0
M-2002-29,WC-2002,Japan,Russia,90,0,1,0,1,3,3,21.661001,23.549376,74.16547,3.6179552,-4,1,0.0,-5.0,-2.0,0.0
M-2002-27,WC-2002,Mexico,Ecuador,15,75,-1,0,1,0,0,23.2975,19.341793,42.511288,32.039997,29,1,70.0,5.0,3.0,8.0
M-2002-27,WC-2002,Mexico,Ecuador,30,60,0,0,2,0,0,22.6475,18.06823,42.044643,30.302078,29,1,70.0,5.0,3.0,8.0
M-2002-27,WC-2002,Mexico,Ecuador,45,45,0,0,2,0,1,22.6475,18.06823,42.044643,30.302078,29,1,70.0,5.0,3.0,8.0
